Episode,TotalSteps,Epsilon,AvgTotalReward100,AvgLines100,Loss,TimeElapsed,Avg_Scorech_100,Avg_Heightp_100,Avg_Holep_100,Avg_Bumpine_100,Avg_Linesr_100,Avg_Combor_100,Avg_Well_oc_100,Avg_Game_ov_100,Avg_Piece_d_100
15100,433656,0.1357,3161.1121,19.3500,72622.7812,211.55,21.3442,-1.0099,-25.3314,-5.8175,42.6884,11.0101,-14.1597,-1.9607,-0.0100
15200,441846,0.1307,2751.2540,19.7700,37330.7695,426.12,20.8650,-1.1134,-27.5545,-6.0127,41.7300,11.4133,-16.6504,-1.8627,-0.0100
15300,449649,0.1261,2465.8807,18.6400,20017.9844,600.15,20.5245,-1.1301,-28.2895,-6.0477,41.0491,11.0694,-17.0941,-1.9828,-0.0100
15400,458232,0.1212,3585.5097,22.1100,19166.5137,794.30,21.5223,-1.1004,-25.7138,-5.7681,43.0446,12.2791,-16.8882,-1.9495,-0.0100
15500,467027,0.1164,3606.0705,22.7900,90226.8594,989.39,22.4134,-1.1518,-25.7626,-5.9560,44.8269,12.2680,-18.5451,-1.7394,-0.0100
15600,475237,0.1121,3157.2730,20.5300,133059.6719,1168.57,22.0952,-1.1211,-24.9088,-5.8710,44.1904,12.7398,-17.8319,-1.9074,-0.0100
15700,484205,0.1075,3931.7922,23.6100,78772.0781,1366.84,22.5081,-1.1341,-25.7744,-5.8333,45.0161,12.4822,-17.9184,-1.8217,-0.0100
15800,493284,0.1031,4090.8371,23.9000,54602.8398,1567.37,22.6679,-1.0937,-25.0062,-5.7043,45.3358,12.8916,-17.5852,-1.7977,-0.0100
15900,503034,0.0986,4730.6660,26.6200,46927.8047,1782.92,24.4397,-1.1007,-24.6863,-5.6874,48.8795,13.9979,-17.6103,-1.6196,-0.0100
16000,512656,0.0943,4724.1418,25.9700,97131.9375,1997.19,24.0351,-1.0900,-23.8700,-5.7280,48.0702,14.1923,-17.4574,-1.6266,-0.0100
16100,524653,0.0893,7006.4783,35.6500,23339.0605,2263.70,26.4257,-1.0858,-25.1104,-5.5920,52.8514,15.6686,-17.0901,-1.4142,-0.0100
16200,538731,0.0837,9594.9482,43.8000,68135.5156,2578.97,27.9892,-1.0236,-22.1188,-5.5213,55.9783,16.8331,-16.4139,-1.1092,-0.0100
16300,554234,0.0779,11511.4717,49.8200,29241.8105,2925.19,29.0325,-0.9892,-22.2138,-5.4878,58.0650,18.0259,-15.6683,-1.0359,-0.0100
16400,569386,0.0726,10771.0778,48.3100,70586.4219,3273.08,29.0696,-1.0279,-22.9086,-5.3931,58.1391,17.9887,-16.3988,-1.0217,-0.0100
16500,588041,0.0667,14953.4705,62.9100,48462.7734,3709.26,31.1862,-1.0037,-21.9882,-5.3324,62.3724,20.9243,-16.2204,-0.8746,-0.0100
16600,607709,0.0609,16521.3902,67.1800,82294.0781,4175.65,30.9029,-0.9955,-21.4159,-5.3546,61.8059,20.8709,-15.6895,-0.8629,-0.0100
